Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,District/Neighborhood,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
"California, Here I Come",The Best Of The Decca Years [1992],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:25.523 ,Al Jolson,2,
California Sun,Forrest Gump (The Soundtrack) [1994],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:21.290 ,The Rivieras,3,Same origin album was used in Pop Century (WDW)
California Dreamin’,The Best Of The Mamas & The Papas (20th Century Masters) [1999],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],"This loop played in Sunshine Plaza from opening day (Feb 8, 2001) until its closure on August 29, 2011. The loop played in stereophonic sound, with one channel playing from the inner ring of speakers around the central hub, and the other channel playing from the outer ring of speakers across the parade route. It is rumored to have played in the Magic Key holder exclusive Magic Key Terrace at DCA (see https://mousebits.com/smf/index.php?topic=10744.msg98404#msg98404 (2022)). This tracklist has been verified by SSrustworthy against a reference recording by pixelated. Originally posted 03/2002 by Progressland on Magic Music, see https://community.magicmusic.net/threads/disneyland-music-loops.17/post-168 (2002). Also see http://web.archive.org/web/20041129022754/http://disneymusicloops.tripod.com/dlr/dlr-sp-sp.html and https://mousebits.com/smf/index.php?topic=4204.msg29209#msg29209 (2024).",~00:45:38.946,00:02:35.667 ,The Mamas and The Papas,1,
The Little Old Lady (From Pasadena),The Best Of Jan And Dean [1990],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:34.688 ,Jan & Dean,5,Same origin album was used with Pizza Oom Mow Mow
San Francisco (Be Sure to Wear Flowers in Your Hair),Forrest Gump (The Soundtrack) [1994],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:50.863 ,Scott McKenzie,8,Early fade out
Avalon,Unforgettable: With Love [1991],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:01:49.759 ,Natalie Cole,4,
Surf City,,,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:25.332 ,Jan & Dean,7,
San Fernando Valley,,,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:03:10.680 ,Bing Crosby,6,Fade in; slight overlap with previous track
Surfin' USA,Endless Summer,,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:22.811 ,The Beach Boys,15,Early fade out
California Girls,Endless Summer,,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:30.292 ,The Beach Boys,12,Early fade out; Same origin album was used with Pizza Oom Mow Mow
Route 66,Unforgettable: With Love [1991],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:54.714 ,Natalie Cole,10,
San Francisco Bay Blues,A Song Will Rise,,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:56.224 ,"Peter, Paul and Mary",16,
I Love L.A.,Guilty: 30 Years Of Randy Newman [1998],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:59.078 ,Randy Newman,13,
Do You Know the Way to San Jose,AM Gold 1968 [1994],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:49.102 ,Dionne Warwick,11,
"Great Movie Ride, 'Hooray for Hollywood’",Walt Disney World Forever,,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:01:30.871 ,,9,Edited to start at “Hooray for Hollywood” vocals
Hollywood Nights,Greatest Hits [1994],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:04:52.912 ,Bob Seger & The Silver Bullet Band,14,
26 Miles (Santa Catalina),The Capitol Collector's Series [1989],,,,,,,Sunshine Plaza,Sunshine Plaza [REF],,,00:02:29.128 ,The Four Preps,17,
Part of Your World,The Little Mermaid,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,"This loop played alongside Disney animated film clips and drawings in the Animation Building lobby. The first iteration debuted with park opening and updated in 2011. These songs are not played in their entirety; they are short, edited clips, maybe a minute or so long. See Magic Music, https://community.magicmusic.net/threads/dca-animation-building.2416/. Also see MouseBits, https://mousebits.com/smf/index.php?topic=8876.msg84834#msg84834.",~00:30:00,,,1,
Battle with the Forces of Evil,Sleeping Beauty,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,20,
Suite from Mulan,Mulan,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,11,
A Dream is a Wish Your Heart Makes,Cinderella,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,10,
A Bug’s Life Suite,A Bug's Life,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,14,
A Whole New World,Aladdin,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,24,
The Sorcerer's Apprentice,Fantasia 2000,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,3,
Go the Distance (Reprise),Hercules,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,12,
This Land/King of Pride Rock Medley,The Lion King,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,21,Not same as OST
Second Star to the Right,Peter Pan,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,25,
The Bells of Notre Dame (Reprise),The Hunchback Of Notre Dame,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,15,Missing part of the vocals
Little April Shower,Bambi,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,4,
Belle,Beauty and the Beast,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,2,
Once Upon a Dream,Sleeping Beauty,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,23,
Colors of the Wind,Pocahontas,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,22,
Perfect World,The Emperor's New Groove,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,18,
When You Wish Upon a Star,Pinocchio,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,26,
I've Been Tricked,Walt Disney's Snow White And The Seven Dwarfs,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,6,
Hi-Diddle-Dee-Dee,Pinocchio,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,16,
Two Worlds - Finale,Tarzan,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,13,Not same as OST (from point in movie with Tarzan and Jane in jungle garb 'surfing' the branches); missing part of the vocals
Arabian Nights (Instrumental Version),Aladdin,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,5,Not same as OST
Buster's Here,Toy Story 2,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,9,
Morning Paper (score) / He’s A Tramp (unreleased vocal),Lady and the Tramp,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,19,Not same as OST
The Bear Necessities,Jungle Book,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,8,
The Crystal Chamber,Atlantis: The Lost Empire,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,7,
The Mad Tea Party (Score),Walt Disney's Alice In Wonderland,,,,"February 8, 2001 → January 1, 2011",,,Hollywood Pictures Backlot,Animation Building Lobby v.1,,,,,17,
Main Title,The Wizard of Oz: Original Motion Picture Soundtrack,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,, Herbert Stothaer,23,Edited to include 00:06.630--01:32.783. There is either a 5 second gap or a few more seconds of track are included at the end.
"Great Movie Ride, 'Hooray for Hollywood’",Walt Disney World Forever,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,"This loop played along Hollywood Boulevard of Hollywood Pictures Backlot from the park’s 2001 opening until June 2004 (https://disneymusicloops.tripod.com/dlr/dlr-hpb-hpb.html). The track list was first posted separately on https://web.archive.org/web/20040906140631/http://disneymusicloops.tripod.com/dlr/dlr-hpb-hpb.html and by user tongoroa on the https://community.magicmusic.net/threads/disneyland-music-loops.17/post-219. A https://forums.mousebits.com/threads/hollywood-pictures-backlot-1-0.7108/ was created in 2012 by wedroy1923 and thx99, with some https://forums.mousebits.com/threads/hollywood-pictures-backlot-loop.5991/ in 2010. SSrustworthy created the most comprehensive tracklist in 2024, see MouseBits, https://forums.mousebits.com/threads/hollywood-pictures-backlot-1-0.7108/post-100128https://forums.mousebits.com/threads/hollywood-pictures-backlot-1-0.7108/post-100128.",~57:30 (creating an approximate reconstruction),, ,1,"Unverified version, but Timekeeper asserts that this is the WDW Forever track, edited 1:21-end (to remove orchestra tuning, conductor and director line and various audio bits, as the track starts from the chorus line)"
"""Take Her to Sea, Mr. Murdoch”","Music from the Motion Picture ""Titanic”",,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,, James Horner,2,Next track begins at 4:20.859 of album track
Happiness Hotel ver. A, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,4,
Main Title (Singin' In The Rain) [Alternate Version],Singin' In The Rain (Original Motion Picture Soundtrack),,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,, MGM Studio Orchestra,12,Next track starts at 02:05.796 in album track
Main Title (From Star Trek: Voyager),Frontiers,,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,,"Jerry Goldsmith, The Royal Scottish National Orchestra",17,Next track starts at 02:05.538 in album track
Steppin’ Out With a Star, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,"This loop played in the queue area for Muppet Vision 3D from 2001 until 2014. This playlist is based on a 2012 live recording by pixelated and compiled by wedroy1923. All tracks are custom orchestrations. See Magic Music, https://community.magicmusic.net/threads/disneyland-music-loops.17/page-2#post-168 (2002) and Disney Parks Music Compendium, https://disney-parks-music-compendium.blogspot.com/2022/11/muppetvision-3d-bgm.html.",~00:57:39,,,1,
Right Where We Belong, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,3,
Prologue (Album Version),Hook (Original Motion Picture Soundtrack),,,,"February 8, 2001 → June 1, 2004",,,Hollywood Pictures Backlot,Hollywood Pictures Backlot v.1,,,, John Williams,3,
