Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,Disney Gallery Location,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Once Upon a Dream,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman","This loop played in the Disney Gallery in New Orleans Square. According to the Disneyland Forever Project PDF, ""The Disney Gallery tracks are from a music loop first used in 1994.  The loop was removed for the New Tomorrowland exhibit but returned with the Herb Ryman exhibit in 2001 and 2002.  The music loop was probably first prepared for the Auberge de Cendrillon restaurant in Fantasyland at Disneyland Paris.” Also reported as “Disney Gallery Chateau Background Music” on Magic Music by Progressland in 2001, see https://community.magicmusic.net/threads/disneyland-music-loops.17/post-72 (2002). Also see https://disney-parks-music-compendium.blogspot.com/2022/11/the-disney-gallery-art-of-disneyland-bgm.html.",Unknown,,,1,
See loop notes,Disney Strings Fantasy,,Disneyland,,,New Orleans Square,,[1987-1997] The Art of Disneyland v.1,"This loop played in the Disney Gallery in New Orleans Square, which opened with “The Art of Disneyland” exhibit on July 11, 1987. According to Magic Music user fairlight2x, tracks from the album “Disney Strings Fantasy” (1987, DL Records Japan) and/or Vol. 2 in the series were used as the gallery BGM prior to the late 90s. It is unclear which tracks were used. See https://community.magicmusic.net/threads/disney-strings-fantasy.5071/ (2015) and MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-76673 (2013).",Unknown,,Haruki Mino (arranger),1,
Who's Afraid of the Big Bad Wolf?,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,2,
Alice in Wonderland,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,3,
Zip-a-Dee-Doo-Dah,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,4,
Lavender Blue (Dilly Dilly),Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,5,
I'm Wishing,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,6,
The Work Song,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,9,
Little April Shower,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,8,
Love is a Song,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,7,
Heigh-Ho,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,15,
Whistle While You Work,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,14,
So This is Love,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,13,
Hi-Diddle-Dee-Dee,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,12,
The Second Star to the Right,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,11,
When You Wish Upon a Star,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,10,
Part of Your World,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,21,
Spoonful of Sugar,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,20,
One Song,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,19,
Ev'rybody Has a Laughing Place,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,18,
A Smile and a Song,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,17,
Belle,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,16,
Little Wooden Head,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,27,
I Wonder,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,26,
Someday My Prince Will Come,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,25,
You Can Fly! You Can Fly! You Can Fly!,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,24,
I'm Late,Disneyland Forever,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,23,
I've Got No Strings,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,22,
Give a Little Whistle,Unreleased,,,,,New Orleans Square,,"[1987-1997] The Art of Disneyland v.2, [2001-2002] A Brush with Disney: The Art of Herbert Ryman",,,,,28,
