Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Sleep Sweet Child,Songs for Rainy Day Lovers,,,,,,Main Street U.S.A.,Kennel Club/Baby Station [PRE],,,,Clare Fischer,2,
Plastic Jesus,Cool Hand Luke OST,,,,,,Main Street U.S.A.,Kennel Club/Baby Station [PRE],This loop is thought to have played in the Disneyland Kennel Club and/or Baby Station. This partial loop compiled by Duckzz and ChrisLyndon based on a 15 minute tape uploaded to WaltsMusic (MouseBits; Re: https://mousebits.com/smf/index.php?topic=9851.msg92638#msg92638) which was labeled with those locations. The WaltsMusic cartridge transfer is not available on Ken Stigen’s website as of 2026.,Unknown,,Lalo Schifrin,1,
A Time for Love,Songs for Rainy Day Lovers,,,,,,Main Street U.S.A.,Kennel Club/Baby Station [PRE],,,,Clare Fischer,3,
America The Beautiful,Songs for Rainy Day Lovers,,,,,,Main Street U.S.A.,Kennel Club/Baby Station [PRE],,,,Clare Fischer,4,
Lavender's Blue,Hi-Fi Music For Children: From 2 to 92,,,,,,Main Street U.S.A.,Kennel Club/Baby Station [PRE],,,,Russ Garcia,7,
Doll On A Music Box & Truly Scrumptious,Fantasmagorical Themes from Chitty Chitty Bang Bang,,,,,,Main Street U.S.A.,Kennel Club/Baby Station [PRE],,,,Irwin Kostal and His Orchestra,5,
Hushabye Mountain,Fantasmagorical Themes from Chitty Chitty Bang Bang,,,,,,Main Street U.S.A.,Kennel Club/Baby Station [PRE],,,,Irwin Kostal and His Orchestra,6,
It's Sprinkling,MEOS-3 - Media Music Release No. 12 - No. 3 - Musical Weather Report [Reel M-128],,Capitol Records,,"January 1, 1975 → August 21, 1995",,Tomorrowland,PeopleMover On-Board v.2,"This loop played onboard the PeopleMover starting around 1975 or 1976 until closing. It is the second loop to have been used onboard, and the only loop based on the Capitol Media Music line. Tracklist compiled by Patrick T (YouTube) and posted by Djaili999 on Mousebits (2018; Re: https://mousebits.com/smf/index.php?topic=9916.msg93160#msg93160). Discussed in https://mousebits.com/smf/index.php?topic=10007.msg93706#msg93706",~00:12:00,,Jan Kimberly,1,
Vast Resources,MEOS-4 - Media Music Release No. 12 - No. 4 - Modern Life-Styles [Reel L-178],,Capitol Records,,"January 1, 1975 → August 21, 1995",,Tomorrowland,PeopleMover On-Board v.2,,,,Jan Kimberly,2,
Decisions,MEOS-8 - Media Music Release No. 12 - No. 8 - Productivity [Reel L-180],,Capitol Records,,"January 1, 1975 → August 21, 1995",,Tomorrowland,PeopleMover On-Board v.2,,,,Jan Kimberly,3,
Today's Action #10,MEHS-1 - Media Music Release No. 8 - No. 1 - Today's Action [Reel X-168],,Capitol Records,,"January 1, 1975 → August 21, 1995",,Tomorrowland,PeopleMover On-Board v.2,,,,Neil Amsterdam,4,
Window Shopping,MELS-9 - Media Music Release No. 11 - No. 9 - Then & Now/Here & There [Reel L-176],,Capitol Records,,"January 1, 1975 → August 21, 1995",,Tomorrowland,PeopleMover On-Board v.2,,,,Robert Ascot,6,
