Track,Album,Album Disc Number,Album Label,Album Track Number,Area,Dates,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
 A Mother's Heart,Four Corners,,Higher Octave Music,7,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:06:02.503,Craig Chaquico,14,
 Just Dancin' Like Fools,Sun Dance: Summer Solstice - A Windham Hill Collection,,Windham Hill,5,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:04:58.945,Will Ackerman,10,
 Green Mountain Trail,Aloft,,Windham Hill,10,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:03:45.642,Sean Harkness,2,
 I Will Walk With My Children,Sun Dance: Summer Solstice - A Windham Hill Collection,,Windham Hill,6,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:03:24.726,William Coulter,11,
" Summer, from Vivaldi's ""The Four Seasons""",Summer Solstice - A Windham Hill Collection,,Windham Hill,9,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:02:59.593,Tracy Silverman,7,
 Waters of Eden,Rocks the West,,Discipline Global Mobile,6,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:04:26.511,California Guitar Trio,3,
 Driving,Sound of Wind Driven Rain,,Windham Hill,3,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:05:32.934,Will Ackerman,13,
 Summer Solstice,Summer Solstice - A Windham Hill Collection,,Windham Hill,1,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:03:56.769,Sean Harkness,6,"Identical to the track on the album “Aloft” "
 Don't Worry Baby,Sun Dance: Summer Solstice - A Windham Hill Collection,,Windham Hill,11,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:04:12.080,"Philip Aaberg, Paul McCandless, Michael Manring",12,
 Aloft,Aloft,,Windham Hill,3,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),"This loop can be heard in the area outside of and around Hearthstone Lounge, Storytellers Cafe, Napa Rose, White Water Snacks, the Fountain and Redwood Pools, Brisa Courtyard, and the entrance to the hotel from Downtown Disney. It was introduced with the opening of the Grand Californian in 2001. Tracklist identified by Club 33 on https://community.magicmusic.net/playlists/grand-californian-exterior.4/. Also see MouseBits, https://mousebits.com/smf/index.php?topic=6806.msg56731#msg56731 (2011).",01:02:36.604,00:05:17.085,Sean Harkness,1,
 Climbing in Geometry,Ackerman: A Windham Hill Retrospective,,Windham Hill,9,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Grand Californian (daytime exterior),,,00:06:08.538,Will Ackerman,4,
