Area,Loop,Loop Total Length,Loop Notes,Track No.,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Disney's Paradise Pier Hotel,PCH Grill,01:00:03.546,"This loop played during dinner at the PCH Grill restaurant at the Paradise Pier Hotel. Preliminary tracklist compiled by pixelated based on his 2012 reference recording. See MouseBits, https://mousebits.com/smf/index.php?topic=7440.msg66306#msg66306 (2012).",1,"Dance, Dance, Dance",The Beach Boys ,, 1:55.875,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,2,Surfin' Hootenanny,Al Casey ,, 2:03.336,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,3,Surf Blaster,The Vara-Tones ,, 3:00.217,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,4,Surfin' USA,The Beach Boys ,, 2:21.768,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,5,Penetration,The Pyramids ,, 1:59.510,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,6,Surf Rider,The Lively Ones ,, 2:21.357,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,7,Summer Means Fun,Bruce and Terry ,, 2:06.941,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,8,Surf Jam,The Beach Boys ,Surfin' USA, 1:28.600,"The loop track starts at around 3.304 of the album track to skip past the countdown vocal. The loop version of ""Surf Jam"" runs about 0.282 secs. slower than the CD version and after taking that into account, the loop version stops at around 1:31.621 of the album version.",,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,9,California Sun,The Rivieras ,, 2:21.466,,,,,"December 15, 2000 → April 1, 2020",
Disney's Paradise Pier Hotel,PCH Grill,,,10,Under the Sea,A*Teens ,Disneymania, 2:10.553,,,,,"December 15, 2000 → April 1, 2020",
